Route Key,"0.00000001% Chance Event: Bex plays VR Phasmaphobia, The Game Pt.5",,,,
Setting,Phasmophobia Truck,,,,
ID,Route,Speaker Name,Sprite,Text,Choices
0,,,,"You all find Bex in truck, desperately speaking into the radio.",
1,,Bex,Sad,Hellooooo.... Tomodachi... Did you perish?,
2,,,,"You all drop your objects. Hoe Bean found a spray can, Sam found a cup, and you managed to find a cat photo.",
3,,Bex,Sad,"Aw, man. Does that mean I have to go in there? I'm not good at this! We all know I'll die!",
4,,,,Hoe Bean aggressively throws his spray can at Bex.,
5,,Hoe Bean,Angry,It's not like we have much of a choice. We have nothing!,
6,,Sam,Neutral,"Yeah, I can't really identify ghosts by behavior just yet. Any ideas, Quinoa?",
7,,You,,"Oof, I dunno. I gotta tap into my inner Mike.",
8,,Bex,Sad,"Okay, okay... glowstick for yes and flashlight for no. Do I need to go in there?",
9,,,,Hoe Bean immediately tosses his spray can on the glowstick.,
10,,Bex,Angry,"Bitch, I know it's you praying on my fucking downfall. You were too quick.",
11,,Hoe Bean,Happy,Heh.,
12,,Sam,Happy,You're so mean. ,
13,,Sam,Neutral,"But, honestly, it might not even be worth going in. We could just guess and leave.",
14,,,,Sam drops their cup on the flashlight.,
15,,Bex,Happy,Sam? I love you.,
16,,,,Hoe Bean and Sam look at you. You're the tie breaker.,
17,,Sam,Neutral,Anything?,
18,,,,"What would Mike do? No! This isn't his story, it's yours! What would you do, Quinoa?",Glowstick / Flashlight
19,Glowstick,,,You drop your cat photo on the glowstick.,
20,,Bex,Sad,"You hate me, Quinoa. Oh fuck, okay, what am I suppose to bring?",
21,,,,You all haphazardly toss your objects at equipment.,
22,,Bex,Angry,I fucking hate it here.,
23,,,,"Somehow and in some cruel way, Bex lives the longest out of all of you. You're quite proud, cheering on your tomodachi by tossing your cat photo in the air. ",
24,,,,"Bex isn't so happy about it though, crying the whole time, just saying how much they crave death at this moment. You all think the ghost is trying to spite them.",
25,,,,"With the amount of false alarms, you're lead to think it's an Oni.",
26,,,,But then you get ghost writing.,
27,,,,Then Bex walks by with a UV light and you spot fingerprints which can only mean one thing.,
28,,,,You guys are fucked. Ass up. No dignity. By a fucking demon. Fucked.,
29,,,,Past tense.,
30,,,,See how the truck is empty right now?,
31,,,,You're all dead.,
19,Flashlight,,,You drop your cat photo on the flashlight.,
20,,Bex,Happy,"Bless my mighty not-men, so what are we guessing then?",
21,,Sam,Neutral,That is a very good question.,
22,,Hoe Bean,Neutral,I got no clue. Do we even have anything in there?,
23,,Sam,Neutral,"It started hunting the minute Quinoa and I got there, so we couldn't really set up.",
24,,You,,I was going to but it kept doing events when I thought it was hunting so I'd hide and the one time I didn't hide it was an actual hunt.,
25,,Hoe Bean,Neutral,Unlucky.,
26,,You,,We could cross off spirit box though.,
27,,Sam,Neutral,"Well, that just leaves us with... A lot.",
28,,,,You all sit and ponder.,
29,,You,,"Well, it's really active so it makes me think it could be an Oni with all those events. They kinda just like to scare you. They're assholes like that.",
30,,Hoe Bean,Neutral,Oni then?,
31,,You,,Hmm... ,
32,,,,"It makes sense, but something in your gut says no... It says...",
33,,You,,Demon.,
34,,Sam,Neutral,Demon?,
35,,You,,Yeah.,
36,,Hoe Bean,Happy,"Okay, fuck it, let's do demon.",
37,,Sam,Happy,"Now, we just have to tell them.",
38,,Bex,Happy,c:,
39,,,,... Don't worry you all manage to do it.,
40,,,,And you're right!,
41,,,,"See, Quinoa, you should have more confidence in yourself and listen to your gut more often. Look at you. So proud. Fucking gamer.",
42,,,,You all reload into a new game.,
43,,Bex,Sad,We're really doing this again?,
44,,Hoe Bean,Happy,"Hey, we paid for an hour.",
45,,Sam,Happy,And we got 48 more minutes left.,
46,,Bex,Sad,Fucking gamer...,
47,,,,"Don't worry, you guys do a lot better in the next few rounds.",
48,,,,"By the end of it, you all end up having a good time. All. Definitely all. Yup.",
